epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4335,1.23551,2.0666,1.24739,0.6214,0.37374,0.40059,0.17905,1.80836,2.6723,1.69908,0.00332415,0.00332415,0.00332415
2,89.1585,1.18729,1.16509,1.17457,0.94339,0.91919,0.95852,0.59787,1.27446,0.97375,1.17283,0.00662087,0.00662087,0.00662087
3,125.892,1.18315,0.97565,1.19879,0.94558,0.81313,0.88415,0.55127,1.32377,1.16412,1.19739,0.00988092,0.00988092,0.00988092
4,162.784,1.18631,0.89984,1.23615,0.93149,0.68668,0.81849,0.45151,1.58353,1.18039,1.35638,0.009835,0.009835,0.009835
5,199.075,1.12049,0.80363,1.2027,0.79537,0.66162,0.76021,0.47285,1.47554,2.22029,1.36186,0.00978,0.00978,0.00978
6,234.721,1.08749,0.73907,1.18887,0.56376,0.5202,0.45334,0.20453,2.10778,2.92058,1.78302,0.009725,0.009725,0.009725
7,271.314,1.04995,0.69832,1.1755,0.93669,0.86364,0.92407,0.61434,1.22676,0.79885,1.18172,0.00967,0.00967,0.00967
8,307.915,1.02721,0.66825,1.15892,0.97476,0.82828,0.9072,0.6377,1.17688,0.87928,1.1714,0.009615,0.009615,0.009615
9,344.659,1.00845,0.64423,1.15417,0.96218,0.77096,0.83382,0.48698,1.49963,1.9023,1.3729,0.00956,0.00956,0.00956
10,382.715,1.00087,0.62224,1.14883,0.9745,0.82828,0.93798,0.68991,1.137,0.66945,1.14739,0.009505,0.009505,0.009505
11,423.091,0.97981,0.60175,1.13527,0.85895,0.79966,0.85557,0.56171,1.29412,1.28334,1.25984,0.00945,0.00945,0.00945
12,460.474,0.98476,0.59832,1.14218,0.90644,0.86869,0.92138,0.64446,1.14217,1.57017,1.11571,0.009395,0.009395,0.009395
13,497.865,0.97493,0.59185,1.13659,0.96298,0.91967,0.96077,0.70211,1.05426,0.86814,1.10856,0.00934,0.00934,0.00934
14,534.193,0.95291,0.57038,1.11865,0.99462,0.93326,0.98789,0.76928,0.9817,0.52014,1.05722,0.009285,0.009285,0.009285
15,572.152,0.93467,0.56056,1.11705,0.87747,0.71212,0.83764,0.60196,1.16054,1.03435,1.17894,0.00923,0.00923,0.00923
16,610.355,0.91693,0.54754,1.10879,0.92728,0.86869,0.9264,0.6819,1.07026,0.80904,1.12069,0.009175,0.009175,0.009175
17,647.348,0.92966,0.54644,1.11365,0.99209,0.95455,0.97252,0.72225,1.03362,0.49591,1.08477,0.00912,0.00912,0.00912
18,682.443,0.91204,0.53309,1.10017,0.98428,0.94879,0.9754,0.71145,1.03142,0.4774,1.10277,0.009065,0.009065,0.009065
19,719.577,0.91368,0.53248,1.10272,0.99128,0.90404,0.95723,0.7188,0.98503,0.61096,1.10278,0.00901,0.00901,0.00901
20,757.415,0.90276,0.53016,1.0946,0.96896,0.94584,0.97005,0.74535,0.95038,0.71115,1.08951,0.008955,0.008955,0.008955
21,793.645,0.87837,0.50237,1.08656,0.98427,0.94836,0.97913,0.75429,0.94055,0.47777,1.03073,0.0089,0.0089,0.0089
22,829.046,0.88972,0.51507,1.09793,0.95581,0.95455,0.97233,0.75456,0.95933,0.54259,1.05685,0.008845,0.008845,0.008845
23,866.414,0.87638,0.50385,1.08359,0.9842,0.94405,0.97701,0.74846,0.9224,0.50831,1.04033,0.00879,0.00879,0.00879
24,904.759,0.86953,0.49286,1.07971,0.96427,0.954,0.96082,0.76077,0.87908,0.58823,1.00681,0.008735,0.008735,0.008735
25,942.026,0.86709,0.49,1.07793,0.94779,0.90404,0.94927,0.73543,0.92121,0.7825,1.02336,0.00868,0.00868,0.00868
26,978.641,0.85764,0.49154,1.07471,0.94667,0.89653,0.94292,0.73432,0.91164,0.85737,1.01752,0.008625,0.008625,0.008625
27,1015.46,0.84923,0.47921,1.06885,0.98317,0.9596,0.97626,0.77977,0.87762,0.48093,1.00719,0.00857,0.00857,0.00857
28,1051.52,0.85577,0.48372,1.0764,0.97903,0.94335,0.97521,0.76206,0.87967,0.48027,1.01336,0.008515,0.008515,0.008515
29,1088.91,0.84704,0.47209,1.06509,0.94678,0.77778,0.85986,0.60034,1.13932,1.62946,1.13559,0.00846,0.00846,0.00846
30,1129.04,0.83873,0.47112,1.06134,0.97856,0.922,0.96438,0.7364,0.95502,0.89893,1.02599,0.008405,0.008405,0.008405
31,1167.98,0.83794,0.47065,1.06193,0.9554,0.85354,0.9198,0.7027,1.00989,1.30255,1.06519,0.00835,0.00835,0.00835
32,1206.03,0.82672,0.45956,1.05874,0.98431,0.9596,0.9908,0.77515,0.89307,0.43354,1.0058,0.008295,0.008295,0.008295
33,1242.48,0.83042,0.46012,1.06142,0.99481,0.96795,0.97787,0.78622,0.86231,0.44007,1.018,0.00824,0.00824,0.00824
34,1278.48,0.81591,0.45547,1.05034,0.99536,0.94444,0.96554,0.7628,0.92751,0.57115,1.03535,0.008185,0.008185,0.008185
35,1315.17,0.81281,0.4503,1.05112,0.98445,0.9593,0.98317,0.78859,0.86966,0.46111,1.00864,0.00813,0.00813,0.00813
36,1350.88,0.80935,0.4496,1.05247,0.99249,0.91414,0.96447,0.74194,0.89864,0.54164,1.01787,0.008075,0.008075,0.008075
37,1387.04,0.80775,0.44507,1.04564,0.96461,0.96349,0.98309,0.77208,0.87441,0.44655,1.02257,0.00802,0.00802,0.00802
38,1422.74,0.80148,0.44062,1.05059,0.97958,0.9692,0.98917,0.80669,0.83052,0.39436,0.99138,0.007965,0.007965,0.007965
39,1459.67,0.79837,0.44202,1.035,0.95782,0.91749,0.92999,0.72596,0.92267,0.88584,1.01981,0.00791,0.00791,0.00791
40,1497.6,0.7951,0.44127,1.04447,0.98974,0.97424,0.97651,0.7613,0.89947,0.39628,1.01615,0.007855,0.007855,0.007855
41,1534,0.78249,0.43866,1.03991,0.99112,0.94949,0.98126,0.7891,0.87032,0.44869,1.01173,0.0078,0.0078,0.0078
42,1569.98,0.78785,0.43058,1.03381,0.98436,0.95353,0.98196,0.78322,0.86719,0.40665,0.99567,0.007745,0.007745,0.007745
43,1607.15,0.77798,0.42733,1.02655,0.98685,0.94949,0.98499,0.78181,0.88821,0.45907,0.98754,0.00769,0.00769,0.00769
44,1644.05,0.76959,0.42101,1.02877,0.98444,0.9587,0.98054,0.78866,0.88972,0.42468,1.00946,0.007635,0.007635,0.007635
45,1679.96,0.77708,0.42991,1.03113,0.98154,0.95455,0.97129,0.78334,0.89013,0.469,1.01266,0.00758,0.00758,0.00758
46,1716.03,0.77602,0.42651,1.03548,0.94227,0.90674,0.94711,0.75198,0.87173,0.90235,0.99338,0.007525,0.007525,0.007525
47,1752.79,0.77054,0.42108,1.03282,0.99473,0.95405,0.97999,0.80578,0.85546,0.48017,1.00063,0.00747,0.00747,0.00747
48,1788.19,0.7598,0.41392,1.02151,0.96949,0.96291,0.9865,0.79595,0.89011,0.43774,1.01238,0.007415,0.007415,0.007415
49,1825.51,0.76987,0.4186,1.02396,0.98947,0.94877,0.9792,0.80479,0.83572,0.40926,0.98172,0.00736,0.00736,0.00736
50,1862.2,0.76479,0.41788,1.02106,0.97907,0.94485,0.97748,0.7818,0.86941,0.46393,1.00676,0.007305,0.007305,0.007305
51,1900.05,0.75078,0.40661,1.02084,0.97946,0.96349,0.98741,0.80599,0.85991,0.36906,1.00854,0.00725,0.00725,0.00725
52,1940.05,0.75538,0.41333,1.02458,0.98771,0.96465,0.98524,0.79687,0.86209,0.39294,1.02104,0.007195,0.007195,0.007195
53,1977.63,0.74448,0.4069,1.01975,0.99478,0.96263,0.9864,0.79447,0.86709,0.40003,1.007,0.00714,0.00714,0.00714
54,2013.62,0.75056,0.40499,1.01804,0.99416,0.96465,0.98693,0.80263,0.85951,0.43114,1.02957,0.007085,0.007085,0.007085
