epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5292,0.80615,0.47968,1.0707,0.94937,0.92391,0.96569,0.76802,0.86775,0.45572,1.00512,0.00055414,0.00055414,0.00055414
2,92.3296,0.86118,0.52512,1.09585,0.89228,0.89923,0.95679,0.75757,0.86978,0.57793,0.97757,0.00109607,0.00109607,0.00109607
3,131.573,0.8937,0.56358,1.11396,0.85692,0.88508,0.94378,0.74869,0.93023,0.67031,1.04769,0.00162425,0.00162425,0.00162425
4,167.866,0.92634,0.58072,1.13132,0.95543,0.89397,0.95877,0.76327,0.84181,0.5167,0.98695,0.00160511,0.00160511,0.00160511
5,205.749,0.90661,0.58922,1.126,0.96275,0.90894,0.96918,0.77911,0.85051,0.48886,0.99077,0.00158448,0.00158448,0.00158448
6,241.557,0.89942,0.56932,1.12024,0.8644,0.83134,0.89352,0.68855,0.92024,0.80504,1.03646,0.00156385,0.00156385,0.00156385
7,278.575,0.90962,0.57753,1.12325,0.94086,0.90954,0.95728,0.75473,0.88115,0.54056,1.01957,0.00154323,0.00154323,0.00154323
8,316.373,0.90657,0.58517,1.12975,0.78698,0.7208,0.78395,0.59991,0.92737,1.37191,1.07452,0.0015226,0.0015226,0.0015226
9,354.193,0.91474,0.58538,1.12933,0.95491,0.88104,0.95861,0.75704,0.90077,0.59697,1.03069,0.00150197,0.00150197,0.00150197
10,392.177,0.9073,0.57352,1.12388,0.95203,0.88869,0.95544,0.7706,0.86028,0.61221,1.01399,0.00148134,0.00148134,0.00148134
11,427.867,0.89434,0.56727,1.11544,0.92869,0.81344,0.90269,0.69107,0.97136,0.84332,1.10104,0.00146071,0.00146071,0.00146071
12,464.244,0.88802,0.56819,1.11146,0.93374,0.89438,0.95606,0.75794,0.8362,0.4868,1.00765,0.00144008,0.00144008,0.00144008
13,501.433,0.89141,0.55523,1.11228,0.9041,0.88801,0.94219,0.69024,1.02504,0.66112,1.0709,0.00141945,0.00141945,0.00141945
14,538.259,0.86296,0.54085,1.09576,0.9459,0.90706,0.94824,0.75439,0.85562,0.54392,1.0059,0.00139882,0.00139882,0.00139882
15,574.871,0.87837,0.54828,1.10546,0.95786,0.87983,0.96705,0.76441,0.87342,0.56486,0.98903,0.00137819,0.00137819,0.00137819
16,611.206,0.88301,0.56507,1.11213,0.73307,0.39628,0.44747,0.30433,1.33537,5.94163,1.29885,0.00135756,0.00135756,0.00135756
17,647.491,0.8897,0.54086,1.11017,0.90383,0.84674,0.92437,0.70842,0.93942,0.6871,1.03743,0.00133693,0.00133693,0.00133693
18,685.311,0.86935,0.53629,1.10012,0.97406,0.87941,0.95908,0.77269,0.83184,0.62841,1.00073,0.0013163,0.0013163,0.0013163
19,720.796,0.85958,0.53045,1.10107,0.89364,0.92746,0.95791,0.76735,0.8577,0.56796,1.01015,0.00129568,0.00129568,0.00129568
20,756.158,0.85011,0.51292,1.08576,0.89917,0.90789,0.94433,0.74286,0.87319,0.59381,1.03484,0.00127505,0.00127505,0.00127505
21,791.809,0.87363,0.53289,1.10784,0.9331,0.88426,0.95004,0.74906,0.80045,0.53296,0.99184,0.00125442,0.00125442,0.00125442
22,827.91,0.84683,0.52038,1.09139,0.88878,0.85023,0.86998,0.6742,0.87532,1.42943,1.01687,0.00123379,0.00123379,0.00123379
23,863.539,0.8379,0.51358,1.08953,0.94735,0.89227,0.95535,0.76389,0.83468,0.64322,0.98267,0.00121316,0.00121316,0.00121316
24,900.091,0.84201,0.5013,1.08532,0.89821,0.85435,0.94772,0.76727,0.84396,0.75337,0.99099,0.00119253,0.00119253,0.00119253
25,935.915,0.84716,0.51124,1.08409,0.92613,0.85614,0.91495,0.73022,0.83352,0.72978,0.96754,0.0011719,0.0011719,0.0011719
26,973.462,0.83432,0.50969,1.08128,0.98261,0.90786,0.97724,0.77696,0.85565,0.4932,1.01318,0.00115127,0.00115127,0.00115127
27,1010.56,0.8251,0.50291,1.07891,0.96838,0.90018,0.95308,0.76519,0.81632,0.51334,0.97962,0.00113064,0.00113064,0.00113064
28,1046.29,0.83219,0.50594,1.08257,0.95449,0.92674,0.96152,0.77308,0.79549,0.49061,0.96664,0.00111001,0.00111001,0.00111001
29,1082.26,0.81898,0.50279,1.0788,0.92303,0.88369,0.93828,0.75394,0.79678,0.78246,0.96632,0.00108938,0.00108938,0.00108938
30,1118.78,0.81325,0.50175,1.06711,0.9515,0.87206,0.94331,0.75567,0.82458,0.86818,0.98038,0.00106876,0.00106876,0.00106876
31,1155.42,0.82359,0.49649,1.07204,0.90959,0.91692,0.96575,0.77552,0.82672,0.5278,0.97837,0.00104813,0.00104813,0.00104813
32,1192.2,0.78688,0.47673,1.05855,0.95433,0.90264,0.93256,0.73358,0.87214,0.71785,1.00586,0.0010275,0.0010275,0.0010275
33,1228.65,0.79524,0.47423,1.05803,0.95819,0.92611,0.97568,0.77189,0.82684,0.46983,0.96743,0.00100687,0.00100687,0.00100687
34,1265.16,0.7871,0.47982,1.06064,0.94697,0.89869,0.96278,0.7758,0.81639,0.53662,0.97957,0.000986239,0.000986239,0.000986239
35,1301.58,0.79039,0.47436,1.06159,0.97881,0.89267,0.96476,0.7814,0.81588,0.50259,0.99001,0.00096561,0.00096561,0.00096561
36,1339.33,0.78715,0.47373,1.0561,0.957,0.89964,0.97321,0.77797,0.80501,0.44662,0.96216,0.000944981,0.000944981,0.000944981
37,1377.25,0.78212,0.46588,1.05913,0.96319,0.93213,0.97268,0.78946,0.79731,0.52097,0.97144,0.000924352,0.000924352,0.000924352
38,1415.02,0.7828,0.46352,1.05367,0.96904,0.94333,0.97173,0.78266,0.84258,0.4047,0.98694,0.000903722,0.000903722,0.000903722
39,1452.43,0.76533,0.45457,1.04637,0.96175,0.91527,0.97178,0.79392,0.78427,0.4664,0.95708,0.000883093,0.000883093,0.000883093
40,1490.36,0.7613,0.45175,1.04495,0.95023,0.84885,0.92524,0.74717,0.80616,0.81356,0.96357,0.000862464,0.000862464,0.000862464
41,1527.64,0.7678,0.45502,1.0467,0.97821,0.89388,0.97435,0.77613,0.82415,0.43951,0.96504,0.000841835,0.000841835,0.000841835
42,1565.27,0.75022,0.45049,1.04156,0.97202,0.92959,0.97691,0.79242,0.7705,0.42275,0.9619,0.000821206,0.000821206,0.000821206
43,1604.17,0.75913,0.45441,1.04385,0.95999,0.91906,0.97518,0.80001,0.80026,0.46282,0.95655,0.000800577,0.000800577,0.000800577
44,1641.75,0.74967,0.43833,1.04005,0.94606,0.89964,0.96291,0.79196,0.82048,0.55686,0.99107,0.000779948,0.000779948,0.000779948
