epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.477,0.6346,0.34416,1.00467,0.99641,0.9966,0.99487,0.94126,0.33437,0.17404,0.77822,0.00332924,0.00332924,0.00332924
2,201.362,0.64068,0.34453,1.00986,0.98569,0.96853,0.99084,0.90984,0.43575,0.3174,0.81015,0.00658013,0.00658013,0.00658013
3,287.341,0.68083,0.36928,1.02327,0.82415,0.78536,0.77867,0.6857,0.68497,2.22512,1.01608,0.00974851,0.00974851,0.00974851
4,371.595,0.72548,0.41103,1.04506,0.99534,0.99718,0.99452,0.89069,0.455,0.24778,0.81623,0.00962875,0.00962875,0.00962875
5,456.364,0.72873,0.416,1.04786,0.9872,0.98399,0.99349,0.90386,0.43542,0.26484,0.83722,0.009505,0.009505,0.009505
6,541.21,0.72141,0.40478,1.03993,0.95522,0.96683,0.97976,0.85235,0.57569,0.32244,0.86235,0.00938125,0.00938125,0.00938125
7,622.504,0.72438,0.40879,1.04424,0.99944,0.99255,0.99489,0.91006,0.41345,0.21382,0.79732,0.0092575,0.0092575,0.0092575
8,706.404,0.71484,0.40636,1.03671,0.99673,0.99046,0.99401,0.925,0.37065,0.20925,0.78929,0.00913375,0.00913375,0.00913375
9,788.001,0.71965,0.40381,1.04103,0.99862,0.98982,0.99473,0.92638,0.34736,0.20361,0.78406,0.00901,0.00901,0.00901
10,871.609,0.71819,0.40121,1.04247,0.99693,0.99127,0.99479,0.92868,0.36256,0.20593,0.78703,0.00888625,0.00888625,0.00888625
11,953.689,0.70646,0.39997,1.0362,0.9967,0.99133,0.99477,0.92662,0.36961,0.20494,0.79058,0.0087625,0.0087625,0.0087625
12,1036.07,0.70512,0.39539,1.03626,0.99227,0.99448,0.99407,0.92043,0.36838,0.20501,0.78961,0.00863875,0.00863875,0.00863875
13,1117.53,0.70681,0.39653,1.03903,0.99615,0.99842,0.99493,0.92812,0.36302,0.19994,0.78654,0.008515,0.008515,0.008515
