epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,312.137,0.89656,0.52126,1.09023,0.97778,0.95789,0.98349,0.7627,0.9661,0.43641,1.07862,0.0014456,0.0014456,0.0014456
44,318.805,0.88272,0.52294,1.08598,0.97908,0.9855,0.99212,0.78417,0.89509,0.48238,1.06836,0.0014324,0.0014324,0.0014324
45,325.575,0.89724,0.51573,1.08879,0.97613,0.95789,0.98002,0.77709,0.92078,0.43069,1.05899,0.0014192,0.0014192,0.0014192
46,332.779,0.9029,0.53666,1.10049,0.98923,0.96728,0.99114,0.77942,0.90567,0.42739,1.04408,0.001406,0.001406,0.001406
47,339.738,0.87142,0.49381,1.07599,0.97823,0.94584,0.96892,0.77751,0.96803,0.42716,1.07557,0.0013928,0.0013928,0.0013928
48,346.621,0.8701,0.50053,1.06935,0.98924,0.96775,0.98635,0.80948,0.82659,0.3961,1.00216,0.0013796,0.0013796,0.0013796
49,353.455,0.85988,0.48369,1.06615,0.98924,0.97895,0.98235,0.79082,0.68442,0.38192,0.94586,0.0013664,0.0013664,0.0013664
50,360.372,0.86529,0.49453,1.0788,0.97824,0.94659,0.97737,0.78443,0.97227,0.41251,1.06397,0.0013532,0.0013532,0.0013532
51,367.731,0.8683,0.49909,1.07496,0.98945,0.98719,0.99212,0.81224,0.78333,0.3695,0.97528,0.00134,0.00134,0.00134
52,374.751,0.87083,0.50005,1.08136,0.98877,0.97895,0.98521,0.81383,0.80117,0.36016,1.00586,0.0013268,0.0013268,0.0013268
53,381.743,0.8564,0.49,1.07188,0.98924,0.96758,0.9918,0.84953,0.70416,0.36376,0.95562,0.0013136,0.0013136,0.0013136
54,388.682,0.86166,0.49153,1.06962,0.98505,0.96842,0.98434,0.7975,0.8855,0.44117,1.02107,0.0013004,0.0013004,0.0013004
55,395.534,0.84021,0.48147,1.05903,0.97632,0.97895,0.98416,0.8169,0.82405,0.38841,1.03892,0.0012872,0.0012872,0.0012872
56,402.721,0.8743,0.49121,1.07524,0.98912,0.9567,0.97745,0.78523,0.78382,0.41392,0.98824,0.001274,0.001274,0.001274
57,409.341,0.84548,0.48533,1.07181,0.97869,0.96705,0.9859,0.82664,0.85819,0.39488,1.03563,0.0012608,0.0012608,0.0012608
58,415.779,0.83004,0.48502,1.05578,0.98896,0.94318,0.97979,0.78625,0.98688,0.45244,1.14977,0.0012476,0.0012476,0.0012476
59,422.403,0.8254,0.48432,1.0554,0.98923,0.96641,0.98585,0.80389,0.80506,0.39656,0.98925,0.0012344,0.0012344,0.0012344
60,429.256,0.82912,0.47888,1.0503,0.98919,0.9629,0.98965,0.79038,0.95464,0.40496,1.06842,0.0012212,0.0012212,0.0012212
61,436.012,0.83336,0.47936,1.06162,0.95735,0.9451,0.97599,0.77465,0.99037,0.51945,1.10792,0.001208,0.001208,0.001208
62,442.766,0.85142,0.48191,1.07499,0.98708,0.96842,0.98702,0.80213,1.03558,0.40082,1.16624,0.0011948,0.0011948,0.0011948
63,449.357,0.83213,0.47708,1.05615,0.98924,0.96804,0.98962,0.79751,0.96758,0.43809,1.08312,0.0011816,0.0011816,0.0011816
64,455.982,0.83905,0.47835,1.06019,0.98925,0.96842,0.98935,0.81436,0.75111,0.36505,0.956,0.0011684,0.0011684,0.0011684
65,462.826,0.81733,0.46636,1.04587,0.98936,0.97865,0.99298,0.84909,0.65096,0.37912,0.93192,0.0011552,0.0011552,0.0011552
66,469.883,0.8103,0.45742,1.04876,0.98896,0.98947,0.99306,0.79765,0.96861,0.39602,1.13729,0.001142,0.001142,0.001142
67,476.873,0.82053,0.45371,1.05761,0.99405,0.94737,0.9867,0.81498,0.74601,0.35174,0.96479,0.0011288,0.0011288,0.0011288
68,483.504,0.79568,0.45746,1.04459,0.97671,0.98947,0.98797,0.8024,0.90479,0.37909,1.04996,0.0011156,0.0011156,0.0011156
69,490.206,0.79097,0.44087,1.03888,0.98946,0.98836,0.98853,0.79064,0.84506,0.38076,1.02073,0.0011024,0.0011024,0.0011024
70,496.945,0.7815,0.43648,1.03375,0.9868,0.95789,0.98713,0.8448,0.68204,0.33406,0.95538,0.0010892,0.0010892,0.0010892
71,503.965,0.79612,0.44586,1.03671,0.98546,0.97895,0.98705,0.79678,0.86507,0.39003,1.0572,0.001076,0.001076,0.001076
72,511.218,0.77027,0.43349,1.03563,0.96822,0.98947,0.9875,0.81102,0.89392,0.39248,1.08189,0.0010628,0.0010628,0.0010628
73,518.366,0.78146,0.44316,1.0353,0.98758,0.97895,0.99209,0.84538,0.76324,0.36332,0.99381,0.0010496,0.0010496,0.0010496
74,525.122,0.79185,0.44772,1.03299,0.97683,0.97895,0.98781,0.78977,0.926,0.41529,1.05806,0.0010364,0.0010364,0.0010364
75,531.95,0.76901,0.4419,1.03203,0.98905,0.95099,0.98947,0.83051,0.89223,0.38827,1.10225,0.0010232,0.0010232,0.0010232
76,538.934,0.76642,0.43167,1.02026,0.99688,0.97895,0.99035,0.78444,1.15052,0.42741,1.22846,0.00101,0.00101,0.00101
77,545.73,0.76672,0.42351,1.02616,0.98935,0.97743,0.98624,0.83119,0.68737,0.33945,0.95506,0.0009968,0.0009968,0.0009968
78,552.38,0.75085,0.43073,1.02223,0.97807,0.97895,0.98865,0.79137,1.03525,0.4177,1.18816,0.0009836,0.0009836,0.0009836
79,559.217,0.77573,0.42717,1.02467,0.97871,0.96801,0.99103,0.81869,0.98756,0.41539,1.14816,0.0009704,0.0009704,0.0009704
80,566.149,0.77408,0.43008,1.02157,0.96723,0.95789,0.98508,0.82808,0.63458,0.48701,0.9247,0.0009572,0.0009572,0.0009572
81,573.241,0.74223,0.42229,1.01466,0.97764,0.97895,0.9832,0.80587,0.92959,0.39001,1.10764,0.000944,0.000944,0.000944
82,580.321,0.73665,0.41707,1.00677,0.98876,0.98947,0.99143,0.80532,0.90554,0.37925,1.09811,0.0009308,0.0009308,0.0009308
83,587.38,0.74953,0.42874,1.0162,0.97901,0.98188,0.99358,0.82959,0.8484,0.34893,1.05471,0.0009176,0.0009176,0.0009176
84,594.977,0.74902,0.41524,1.01342,0.97768,0.97895,0.99271,0.83539,0.82669,0.35882,1.03626,0.0009044,0.0009044,0.0009044
85,601.877,0.7434,0.41906,1.00975,0.9889,0.97895,0.99268,0.82747,0.93061,0.37535,1.13977,0.0008912,0.0008912,0.0008912
86,608.647,0.72948,0.41746,1.01324,0.96876,0.97942,0.99214,0.83152,0.83875,0.35247,1.03547,0.000878,0.000878,0.000878
87,615.623,0.71858,0.40626,0.99945,0.98934,0.97716,0.98676,0.85328,0.59878,0.32263,0.91343,0.0008648,0.0008648,0.0008648
