epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1554.78,0.89694,0.50004,1.11362,0.97867,0.95455,0.96565,0.78297,0.84093,0.42228,1.00108,0.00830875,0.00830875,0.00830875
43,1591.82,0.89966,0.50399,1.11116,0.97884,0.9697,0.98136,0.80545,0.83298,0.39823,0.98749,0.0082675,0.0082675,0.0082675
44,1629.29,0.89745,0.50189,1.11235,0.99391,0.96465,0.98077,0.79959,0.85088,0.42403,1.01389,0.00822625,0.00822625,0.00822625
45,1665.81,0.8854,0.49907,1.10491,0.98289,0.95455,0.98403,0.79676,0.84337,0.41543,1.00502,0.008185,0.008185,0.008185
46,1702.28,0.885,0.49251,1.10377,0.99334,0.96465,0.98947,0.80495,0.82788,0.3751,0.96812,0.00814375,0.00814375,0.00814375
47,1739.36,0.88156,0.48516,1.09822,0.97859,0.92341,0.96151,0.76626,0.86207,0.6017,0.99397,0.0081025,0.0081025,0.0081025
48,1776.58,0.88441,0.49081,1.10126,0.99326,0.94444,0.97413,0.789,0.84167,0.42093,0.98029,0.00806125,0.00806125,0.00806125
49,1814.34,0.86284,0.4823,1.09604,0.80579,0.88384,0.90833,0.73415,0.85466,1.12693,0.9954,0.00802,0.00802,0.00802
50,1852.58,0.87205,0.4894,1.0975,0.9896,0.96141,0.98482,0.81075,0.83695,0.49393,0.98107,0.00797875,0.00797875,0.00797875
51,1890.35,0.86816,0.47748,1.09754,0.93241,0.90404,0.9366,0.75978,0.841,0.84713,0.99627,0.0079375,0.0079375,0.0079375
52,1927.34,0.87362,0.47711,1.10586,0.98828,0.9697,0.985,0.80995,0.81553,0.44499,0.97121,0.00789625,0.00789625,0.00789625
53,1963.23,0.86498,0.482,1.09228,0.97763,0.95455,0.9687,0.78679,0.82975,0.46179,0.97804,0.007855,0.007855,0.007855
54,2001.53,0.85655,0.46828,1.0919,0.98898,0.96465,0.9855,0.81831,0.8123,0.41846,0.98302,0.00781375,0.00781375,0.00781375
55,2038.65,0.85559,0.47618,1.0947,0.99475,0.9596,0.98525,0.80481,0.82529,0.44715,0.98767,0.0077725,0.0077725,0.0077725
56,2076.3,0.8471,0.46489,1.09058,0.99363,0.97475,0.98776,0.81553,0.80664,0.37509,0.98709,0.00773125,0.00773125,0.00773125
57,2113.3,0.85041,0.46496,1.08897,1,0.95913,0.9862,0.81214,0.83411,0.40949,0.99489,0.00769,0.00769,0.00769
58,2149.92,0.84838,0.46474,1.07914,0.99427,0.9697,0.9891,0.82236,0.81404,0.40198,0.97427,0.00764875,0.00764875,0.00764875
59,2187.02,0.84928,0.4699,1.08383,0.99477,0.96139,0.98014,0.79853,0.81227,0.42554,0.98874,0.0076075,0.0076075,0.0076075
60,2223.19,0.84224,0.46204,1.08131,0.9656,0.95455,0.96862,0.79373,0.82068,0.49355,0.97531,0.00756625,0.00756625,0.00756625
61,2262.27,0.83779,0.46402,1.08105,0.98782,0.96465,0.97685,0.79079,0.81921,0.38149,1.00339,0.007525,0.007525,0.007525
62,2299.22,0.83026,0.45898,1.0794,0.9698,0.97319,0.98331,0.81163,0.82066,0.38102,0.98066,0.00748375,0.00748375,0.00748375
63,2336.42,0.83092,0.45316,1.07871,0.99948,0.95455,0.98529,0.80832,0.82807,0.38758,0.98262,0.0074425,0.0074425,0.0074425
64,2372.96,0.82836,0.45428,1.07746,0.99131,0.94444,0.98272,0.80668,0.82948,0.41212,0.98567,0.00740125,0.00740125,0.00740125
65,2409.1,0.82339,0.45379,1.07483,0.99829,0.94949,0.98835,0.80367,0.82993,0.36781,0.98364,0.00736,0.00736,0.00736
66,2445.1,0.82886,0.45169,1.07296,0.99362,0.96465,0.98095,0.80746,0.81883,0.46607,0.99414,0.00731875,0.00731875,0.00731875
67,2480.93,0.82238,0.45335,1.07243,0.99903,0.9697,0.98955,0.81992,0.80751,0.36839,0.98699,0.0072775,0.0072775,0.0072775
68,2518.02,0.82071,0.45402,1.07495,0.99473,0.96465,0.98505,0.80469,0.8521,0.39227,1.05649,0.00723625,0.00723625,0.00723625
69,2553.12,0.81892,0.44465,1.06696,0.98856,0.9697,0.9799,0.80618,0.84208,0.39442,1.00314,0.007195,0.007195,0.007195
70,2589.05,0.81208,0.44532,1.06051,1,0.96842,0.98694,0.81746,0.82576,0.38302,0.99269,0.00715375,0.00715375,0.00715375
71,2625.46,0.80239,0.44172,1.05897,1,0.969,0.99012,0.81526,0.82723,0.38708,1.00562,0.0071125,0.0071125,0.0071125
72,2664.84,0.80909,0.44133,1.06235,0.99462,0.9697,0.98771,0.81932,0.83405,0.36903,1.00168,0.00707125,0.00707125,0.00707125
73,2703.17,0.81021,0.44382,1.06277,0.98875,0.96465,0.98237,0.81362,0.82172,0.45083,0.98277,0.00703,0.00703,0.00703
74,2741.35,0.79994,0.43704,1.05816,0.9891,0.96465,0.98822,0.82519,0.81103,0.38934,0.96874,0.00698875,0.00698875,0.00698875
75,2777.08,0.80634,0.44057,1.06247,0.99479,0.96435,0.98726,0.816,0.79552,0.38624,0.97638,0.0069475,0.0069475,0.0069475
76,2812.85,0.79571,0.43861,1.05457,0.99476,0.95904,0.98637,0.81289,0.82759,0.4019,0.98376,0.00690625,0.00690625,0.00690625
77,2849.34,0.7966,0.43631,1.05586,0.98864,0.97475,0.9873,0.8238,0.80479,0.38018,0.96399,0.006865,0.006865,0.006865
78,2885.01,0.78821,0.43017,1.05213,0.99482,0.96961,0.98543,0.83057,0.79491,0.39131,0.96282,0.00682375,0.00682375,0.00682375
79,2921.65,0.78832,0.42707,1.0478,0.99923,0.96465,0.98567,0.82964,0.79004,0.37316,0.95353,0.0067825,0.0067825,0.0067825
80,2957.18,0.78931,0.43231,1.04995,0.98963,0.96465,0.98382,0.82403,0.79986,0.36072,0.95956,0.00674125,0.00674125,0.00674125
81,2994.61,0.7829,0.42535,1.04484,0.99481,0.9689,0.98763,0.82506,0.8056,0.35228,0.96035,0.0067,0.0067,0.0067
82,3031.02,0.78067,0.42581,1.05228,0.99482,0.96907,0.98576,0.82266,0.80467,0.37047,0.97379,0.00665875,0.00665875,0.00665875
83,3068.34,0.78335,0.42498,1.04722,0.99457,0.96465,0.98593,0.83129,0.79738,0.3742,0.95701,0.0066175,0.0066175,0.0066175
84,3106.12,0.77675,0.42511,1.05053,0.99479,0.96442,0.9822,0.81561,0.7837,0.38173,0.95469,0.00657625,0.00657625,0.00657625
85,3142.79,0.77974,0.42897,1.0481,0.99482,0.96955,0.98557,0.82466,0.79741,0.36428,0.95612,0.006535,0.006535,0.006535
86,3178.23,0.78297,0.42399,1.05264,0.98968,0.96863,0.98496,0.81984,0.7944,0.36439,0.96235,0.00649375,0.00649375,0.00649375
87,3214.37,0.76786,0.42036,1.0405,0.9894,0.9697,0.9809,0.82221,0.79402,0.40005,0.97156,0.0064525,0.0064525,0.0064525
88,3251.67,0.7762,0.41863,1.05002,0.98852,0.97475,0.98091,0.82619,0.77661,0.37948,0.95171,0.00641125,0.00641125,0.00641125
89,3289.11,0.77286,0.4153,1.04795,0.99481,0.96885,0.98752,0.83247,0.79115,0.35046,0.96677,0.00637,0.00637,0.00637
90,3325.36,0.75651,0.41228,1.04613,0.99481,0.9676,0.98891,0.82813,0.77942,0.34832,0.97188,0.00632875,0.00632875,0.00632875
91,3361.56,0.76791,0.41759,1.03962,0.99412,0.96465,0.98661,0.83613,0.78567,0.38624,0.96254,0.0062875,0.0062875,0.0062875
92,3398.5,0.75823,0.41011,1.03474,0.99418,0.9697,0.98368,0.83056,0.80984,0.39994,0.97526,0.00624625,0.00624625,0.00624625
93,3436.1,0.75602,0.41321,1.04277,0.99479,0.96463,0.98816,0.82572,0.80132,0.3735,0.99057,0.006205,0.006205,0.006205
94,3471.83,0.75508,0.41166,1.04082,1,0.9741,0.98911,0.82844,0.78277,0.37119,0.97235,0.00616375,0.00616375,0.00616375
95,3508.89,0.75601,0.4131,1.04291,0.99928,0.97475,0.98878,0.82922,0.80001,0.35296,0.98951,0.0061225,0.0061225,0.0061225
96,3546.12,0.75531,0.41777,1.04252,0.99897,0.97475,0.988,0.82896,0.81118,0.36863,0.99216,0.00608125,0.00608125,0.00608125
97,3584,0.75191,0.40708,1.038,0.99921,0.97475,0.98865,0.8289,0.80936,0.37385,0.9907,0.00604,0.00604,0.00604
98,3619.57,0.74756,0.40638,1.03348,0.99735,0.97475,0.98855,0.83258,0.79159,0.38427,0.97449,0.00599875,0.00599875,0.00599875
99,3657.28,0.75039,0.40604,1.03937,0.99831,0.97475,0.98816,0.83227,0.78787,0.38888,0.96098,0.0059575,0.0059575,0.0059575
